id,text,Gemini_base,Gemini_formal,Gemini_patient,Gemini_knowledge,Gemini_graph,Gemini_graph_expert,Gemini_graph_patient
1,"A child's dosage is based on: the severity of their infection, their age, their medical history, other conditions they have, their weight in kilograms (kg); 1 kg equals about 2.2 pounds. Below is a pediatric chart for Augmentin dosages based on prescribing information. Suspensions (a type of liquid mixture) are usually the preferred form for children, and taking a dose every 12 hours may cause less diarrhea. Please note: All doses are given in mg of amoxicillin per kg of body weight (mg/kg).","Дозування дитини визначається на основі: ступеня тяжкості її інфекції, її віку, її медичної історії, інших наявних у неї станів, її ваги в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведено педіатричну таблицю дозування Аугментину, що базується на інформації для призначення. Суспензії (тип рідкої суміші) зазвичай є кращою формою для дітей, і прийом дози кожні 12 годин може спричинити менше діареї. Зверніть увагу: Усі дози наведені в мг амоксициліну на кг маси тіла (мг/кг).","Дозування дитини визначається на основі: тяжкості інфекції, віку, анамнезу, супутніх захворювань, маси тіла в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведено педіатричну таблицю дозування Аугментину, засновану на інформації про призначення. Суспензії (тип рідкої суміші) зазвичай є кращою формою для дітей, а прийом дози кожні 12 годин може спричинити менше випадків діареї. Будь ласка, зверніть увагу: всі дози вказані в міліграмах амоксициліну на кілограм маси тіла (мг/кг).","Дозування для дитини визначається на основі: тяжкості інфекції, її віку, історії хвороби, інших наявних захворювань, ваги в кілограмах (кг); 1 кг приблизно дорівнює 2,2 фунтам. Нижче наведено таблицю для дітей щодо дозування Аугментину, яка базується на вказівках лікаря. Суспензії (рідка форма ліків) зазвичай краще підходять для дітей, і прийом дози кожні 12 годин може викликати менше діареї. Важливо пам'ятати: всі дози вказані в міліграмах (мг) амоксициліну на кілограм ваги тіла (мг/кг).","Дозування дитини базується на: тяжкості її інфекції, віці, анамнезі, інших наявних захворюваннях, вазі в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведено дитячу таблицю дозування Аугментину на основі даних призначення. Суспензії (тип рідкої суміші) зазвичай є кращою формою для дітей, і прийом дози кожні 12 годин може викликати меншу діарею. Зверніть увагу: всі дози надаються в мг амоксициліну на кг маси тіла (мг/кг).","Дозування дитини базується на: тяжкості її інфекції, віці, анамнезі, інших супутніх станах, вазі в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведено педіатричну таблицю дозування Аугментину на основі вказівок щодо призначення. Суспензії (тип рідкої суміші) зазвичай є кращою формою для дітей, а прийом дози кожні 12 годин може спричинити менше діареї. Зверніть увагу: всі дози вказані в мг амоксициліну на кг маси тіла (мг/кг).","Дозування для дитини ґрунтується на: тяжкості інфекції, її віці, анамнезі, інших супутніх захворюваннях, її вазі в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведена педіатрична таблиця дозувань Аугментину на основі інформації для призначення. Суспензії (різновид рідкої суміші) зазвичай є кращою формою для дітей, а прийом дози кожні 12 годин може спричинити меншу діарею. Зверніть увагу: Усі дози вказані в мг амоксициліну на кг маси тіла (мг/кг).","Дозування для дитини залежить від: тяжкості інфекції, її віку, історії її хвороб, інших захворювань, які вона має, та ваги дитини в кілограмах (кг); 1 кг приблизно дорівнює 2,2 фунта. Нижче наведена дитяча таблиця дозувань для Аугментин (антибіотик) згідно з інструкцією із застосування. Суспензії (рідка форма ліків) зазвичай є кращою формою для дітей, а прийом дози кожні 12 годин може спричинити меншу діарею (пронос). Будь ласка, зверніть увагу: Усі дози вказані в міліграмах амоксициліну на кілограм ваги тіла (мг/кг)."
2,Adults: The usual dose is 3-6 tablets 3-4 times daily. For poisoning and intoxication: administer 0.7-1.1 oz per dose as a water suspension in 4-16 fl oz. The same suspension should also be used for gastric lavage. For increased stomach acidity: adults should take 0.035-0.07 oz of the drug 3-4 times daily.,"Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на день. При отруєнні та інтоксикації: вводити 20-30 мл (0,7-1,1 унції) на дозу у вигляді водної суспензії в 120-470 мл (4-16 рідких унцій). Ця ж суспензія повинна використовуватися для промивання шлунка. При підвищеній кислотності шлунка: дорослим слід приймати 1-2 г (0,035-0,07 унції) препарату 3-4 рази на день.",Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на добу. При отруєннях та інтоксикаціях: вводити 20-30 г на дозу у вигляді водної суспензії в 120-480 мл. Цю ж суспензію слід використовувати для промивання шлунка. При підвищеній кислотності шлунка: дорослим приймати 1-2 г препарату 3-4 рази на добу.,"Дорослі: Звичайна доза – 3-6 таблеток 3-4 рази на день. При отруєнні та інтоксикації: приймати 20-30 мл препарату на один прийом, розведеного у 120-470 мл води. Таку ж суспензію слід використовувати для промивання шлунка. При підвищеній кислотності шлунка: дорослим приймати 1-2 г препарату 3-4 рази на день.","Дорослі: Звичайна доза – 3-6 таблеток 3-4 рази на добу. При отруєннях та інтоксикаціях: вводити 0,7-1,1 унції на дозу у вигляді водної суспензії в 4-16 рідких унціях. Ця ж суспензія повинна використовуватися для промивання шлунка. При підвищеній кислотності шлунка: дорослим приймати 0,035-0,07 унції препарату 3-4 рази на добу.","Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на день. При отруєннях та інтоксикаціях: вводити 0,7-1,1 унції на дозу у вигляді водної суспензії в 4-16 рідких унціях. Цю ж суспензію слід використовувати для промивання шлунка. При підвищеній кислотності шлунка: дорослі повинні приймати 0,035-0,07 унції препарату 3-4 рази на день.","Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на день. При отруєннях та інтоксикаціях: призначати 0.7-1.1 унція (28,35 г) на дозу у водній суспензії в 4-16 унція (29,57 мл). Ця ж суспензія також має бути використана для промивання шлунка. При підвищеній кислотності шлунка: дорослим слід приймати 0.035-0.07 унція (28,35 г) препарату 3-4 рази на день.","Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на день. При отруєнні та інтоксикації: приймати від 0.7 до 1.1 унції (це приблизно від 20 до 30 грамів порошку) на дозу у вигляді водної суспензії, розведеної у 4-16 унціях рідини (це приблизно від 120 до 480 мл води). Таку ж суспензію слід використовувати і для промивання шлунка. При підвищеній кислотності шлунка: дорослим слід приймати від 0.035 до 0.07 унції (це приблизно від 1 до 2 грамів порошку або мазі) препарату 3-4 рази на день."
3,"A trained healthcare provider will observe you for at least 15 minutes after being given the Pfizer vaccine. If these symptoms develop after that, go straight to the emergency department at your nearest hospital, or call 111 if your hospital's not nearby.","Навчений медичний працівник спостерігатиме за вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо ці симптоми з’являться після цього, негайно зверніться до відділення невідкладної допомоги найближчої до вас лікарні або зателефонуйте за номером 111, якщо ваша лікарня знаходиться далеко.","Кваліфікований медичний працівник спостерігатиме за Вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо ці симптоми виникнуть після цього періоду, негайно зверніться до відділення невідкладної допомоги найближчої лікарні або зателефонуйте за номером 111, якщо Ваша лікарня знаходиться далеко.","Після введення вакцини Pfizer вас спостерігатиме медичний працівник щонайменше 15 хвилин. Якщо після цього у вас з'являться такі симптоми, негайно зверніться до відділення невідкладної допомоги найближчої лікарні або зателефонуйте 111, якщо лікарня далеко.","Кваліфікований медичний працівник буде спостерігати за вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо після цього у вас з'являться ці симптоми, негайно зверніться до відділення невідкладної допомоги найближчої до вас лікарні або зателефонуйте за номером 111, якщо ваша лікарня розташована далеко.","Навчений медичний працівник спостерігатиме за вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо ці симптоми розвинуться після цього, негайно зверніться до відділення невідкладної допомоги у найближчій лікарні або зателефонуйте за номером 111, якщо ваша лікарня розташована далеко.","Кваліфікований медичний працівник спостерігатиме за вами щонайменше 15 хвилин після введення вакцини Pfizer. У разі появи цих симптомів після цього періоду, негайно зверніться до відділення невідкладної допомоги найближчої до вас лікарні або зателефонуйте 111, якщо лікарня знаходиться не поруч.","Медичний працівник спостерігатиме за вами щонайменше 15 хвилин після щеплення вакциною Pfizer. Якщо після цього у вас з'являться ці симптоми, одразу зверніться до відділення невідкладної допомоги у найближчій до вас лікарні, або зателефонуйте за номером 111, якщо лікарня знаходиться далеко."
4,"This is a common side effect of vaccines and is your immune system's natural response to the vaccine. This is expected and usually starts a few hours after getting the injection and settles within a few days. Some vaccines, such as the measles, mumps and rubella (MMR) vaccine, can cause a delayed reaction. This could be a high fever (over 39 C) between 6 and 12 days after immunisation and temporary joint pain 2 to 4 weeks after immunisation. To ease the fever you can dress lightly, with a single layer of clothing, keep the room cool, use a fan and drink plenty of fluids. Because paracetamol or ibuprofen can interfere with your immune response to a vaccine, only take them for relief of significant discomfort or high fever.","Це поширений побічний ефект вакцин і природна реакція вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції та минає протягом кількох днів. Деякі вакцини, наприклад вакцина проти кору, епідемічного паротиту та краснухи (КПК), можуть викликати відкладену реакцію. Це може бути висока температура (вище 39°C) через 6-12 днів після імунізації та тимчасовий біль у суглобах через 2-4 тижні після імунізації. Для полегшення лихоманки можна одягатися легко, в один шар одягу, тримати кімнату прохолодною, використовувати вентилятор і пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх тільки для полегшення значного дискомфорту або високої температури.","Це поширений побічний ефект вакцин і є природною реакцією вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції та минає протягом кількох днів. Деякі вакцини, такі як вакцина проти кору, епідемічного паротиту та краснухи (КПК), можуть спричиняти відстрочену реакцію. Це може бути висока температура (вище 39 °C) через 6-12 днів після імунізації та тимчасовий біль у суглобах через 2-4 тижні після імунізації. Щоб полегшити лихоманку, ви можете одягатися легко, в один шар одягу, тримати кімнату прохолодною, використовувати вентилятор та вживати багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це поширений побічний ефект вакцин, і це природна реакція вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після уколу, а минає протягом кількох днів. Деякі вакцини, як-от вакцина проти кору, епідемічного паротиту та краснухи (КПК), можуть викликати відстрочену реакцію. Це може бути висока температура (вище 39°C) через 6-12 днів після щеплення та тимчасовий біль у суглобах через 2-4 тижні після щеплення. Щоб полегшити жар, одягайтеся легше, в один шар одягу, тримайте кімнату прохолодною, використовуйте вентилятор і пийте багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це поширений побічний ефект вакцин та природна реакція вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції та минає протягом кількох днів. Деякі вакцини, такі як вакцина проти кору, паротиту та краснухи (КПК), можуть викликати відстрочену реакцію. Це може бути висока температура (вище 39°C) через 6–12 днів після імунізації та тимчасовий біль у суглобах через 2–4 тижні після імунізації. Щоб полегшити лихоманку, можна одягатися легше, в один шар одягу, тримати кімнату прохолодною, використовувати вентилятор та пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це поширений побічний ефект вакцин, який є природною реакцією вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції, а минає протягом кількох днів. Деякі вакцини, такі як вакцина проти кору, паротиту та краснухи (КПК), можуть спричинити відстрочену реакцію. Це може бути висока температура (понад 39 °C) через 6–12 днів після імунізації та тимчасовий біль у суглобах через 2–4 тижні після імунізації. Щоб полегшити лихоманку, можна одягатися легко, в один шар одягу, тримати кімнату прохолодною, використовувати вентилятор і пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це поширений побічний ефект вакцин і є природною реакцією вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції та минає протягом кількох днів. Деякі вакцини, такі як вакцина КПК (кір, паротит, краснуха), можуть викликати відстрочену реакцію. Це може бути висока температура (понад 39 °C) між 6 і 12 днями після імунізації та тимчасовий біль у суглобах через 2-4 тижні після імунізації. Щоб полегшити лихоманку, можна легко одягнутися, в один шар одягу, підтримувати прохолоду в кімнаті, використовувати вентилятор і пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це звичайна реакція після щеплення, що свідчить про природну відповідь вашої імунної системи на вакцину. Це нормально і зазвичай починається через кілька годин після уколу, минаючи протягом кількох днів. Деякі щеплення, наприклад, щеплення проти кору, свинки (паротиту) та краснухи, можуть викликати відстрочену реакцію. Це може бути висока температура (понад 39 °C) між 6 та 12 днями після щеплення, а також тимчасовий біль у суглобах через 2-4 тижні після щеплення. Щоб полегшити лихоманку, ви можете одягнутися легше, в один шар одягу, підтримувати прохолоду в кімнаті, використовувати вентилятор і пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на щеплення, приймайте їх лише для полегшення значного дискомфорту або високої температури."
5,Saxenda and Wegovy: Belong to a group of medicines called glucagon like peptide (GLP-1) receptor agonists. They mimic the GLP-1 hormone that is naturally produced in your gut after eating. These medicines reduce your appetite by making you feel more full and less hungry. This can lead to eating less food and therefore loss of weight. These medicines also stimulate the release of insulin from your pancreas and can help to control blood glucose levels.,"Саксенда та Вегові: належать до групи препаратів, що називаються агоністами рецепторів глюкагоноподібного пептиду-1 (ГПП-1). Вони імітують гормон ГПП-1, який природним чином виробляється у вашому кишечнику після їжі. Ці ліки зменшують апетит, викликаючи відчуття насичення та зменшуючи голод. Це може призвести до споживання меншої кількості їжі та, відповідно, до зниження ваги. Ці ліки також стимулюють вивільнення інсуліну з підшлункової залози та можуть допомогти контролювати рівень глюкози в крові.","Саксенда та Вегові: належать до групи лікарських засобів, що називаються агоністами рецепторів глюкагоноподібного пептиду-1 (ГПП-1). Вони імітують дію гормону ГПП-1, який природним чином виробляється у вашому кишківнику після прийому їжі. Ці лікарські засоби зменшують ваш апетит, спричиняючи відчуття ситості та зменшення голоду. Це може призвести до споживання меншої кількості їжі та, відповідно, до зниження маси тіла. Ці лікарські засоби також стимулюють вивільнення інсуліну з вашої підшлункової залози та можуть допомогти контролювати рівень глюкози в крові.","Саксенда та Вегові: Це ліки, які належать до групи препаратів, що називаються агоністами рецепторів глюкагоноподібного пептиду-1 (ГПП-1). Вони діють подібно до гормону ГПП-1, який ваш організм виробляє природним чином у кишечнику після їжі. Ці ліки зменшують ваш апетит, допомагаючи вам відчувати ситість довше і менше відчувати голод. Це може призвести до того, що ви будете їсти менше, і, отже, до втрати ваги. Ці ліки також стимулюють вироблення інсуліну підшлунковою залозою і можуть допомогти контролювати рівень цукру в крові.","Саксенда та Вегові: належать до групи лікарських засобів, що називаються агоністами рецепторів глюкагоноподібного пептиду (ГПП-1). Вони імітують гормон ГПП-1, який природним чином виробляється у вашому кишечнику після їжі. Ці ліки зменшують апетит, викликаючи відчуття ситості та зменшуючи голод. Це може призвести до зменшення споживання їжі та, відповідно, до втрати ваги. Ці ліки також стимулюють вивільнення інсуліну з підшлункової залози та допомагають контролювати рівень глюкози в крові.","Саксенда та Вегові: Належать до групи лікарських засобів, що називаються агоністами рецепторів глюкагоноподібного пептиду-1 (ГПП-1). Вони імітують дію гормону ГПП-1, який природним чином виробляється у вашому кишечнику після їжі. Ці лікарські засоби зменшують ваш апетит, викликаючи відчуття ситості та зменшуючи голод. Це може призвести до зменшення споживання їжі та, відповідно, до втрати ваги. Ці лікарські засоби також стимулюють вивільнення інсуліну з підшлункової залози та можуть допомогти контролювати рівень глюкози в крові.","Саксенда та Вегові: Належать до групи лікарських засобів, що називаються агоністами рецепторів ГПП-1 (глюкагоноподібного пептиду-1). Вони імітують гормон ГПП-1 (глюкагоноподібний пептид-1), який природним чином виробляється у вашому кишківнику після прийому їжі. Ці лікарські засоби знижують апетит, викликаючи відчуття ситості та зменшуючи відчуття голоду. Це може призвести до споживання меншої кількості їжі та, відповідно, до втрати ваги. Ці лікарські засоби також стимулюють вивільнення інсуліну з підшлункової залози та можуть сприяти контролю рівня глюкози в крові.","Саксенда та Вегові: Це ліки, які імітують дію гормону кишечника ГПП-1 (що регулює апетит). Цей гормон природно виробляється у вашому кишечнику після їжі. Ці ліки зменшують ваш апетит, завдяки тому, що ви відчуваєте себе більш ситими та менш голодними. Це може призвести до того, що ви їсте менше їжі і, отже, до втрати ваги. Ці ліки також стимулюють вивільнення інсуліну з підшлункової залози і можуть допомогти контролювати рівень цукру в крові."
6,Take 1 gr tablet TID (old use),Приймати по 1 таблетці 3 рази на день (старе застосування),Приймати по 1 таблетці (традиційно 1 грам) тричі на день.,Приймайте по 1 таблетці (дозуванням 1 гран) 3 рази на день (застаріле позначення).,"Приймати по 1 таблетці (64,8 мг) тричі на день.",Приймайте по 1 таблетці (64.8 мг) тричі на добу,"Приймати 1 таблетку 1 гран (64,8 мг) 3 рази на добу (застаріле використання).","Приймайте одну таблетку дозуванням 64,8 мг три рази на день (наприклад: ранок, обід, вечір)."
7,Apply 1 oz ointment to affected area,Нанести 1 унцію мазі на уражену ділянку,Нанести 1 унцію мазі на уражену ділянку.,Нанесіть 1 унцію мазі на уражену ділянку.,Нанесіть 1 унцію мазі на уражену ділянку,Нанести 1 унцію мазі на уражену ділянку,"Нанести 1 унцію (28,35 г) мазі на уражену ділянку.",Нанесіть 1 унцію мазі (приблизно 28 грамів) на уражену ділянку.
8,Take 1 tsp PO TID. Take 1 tbsp PO BID,Приймати по 1 ч.л. всередину 3 рази на день. Приймати по 1 ст.л. всередину 2 рази на день.,Приймати по 1 чайній ложці перорально тричі на день. Приймати по 1 столовій ложці перорально двічі на день.,Приймайте по 1 чайній ложці 3 рази на день. Приймайте по 1 столовій ложці 2 рази на день.,Приймати по 5 мл всередину 3 рази на день. Приймати по 15 мл всередину 2 рази на день.,Приймати по 1 чайній ложці перорально (через рот) тричі на добу. Приймати по 1 столовій ложці перорально (через рот) двічі на добу.,Приймати 5 мл перорально 3 рази на добу. Приймати 15 мл перорально 2 рази на добу.,"Приймайте одну чайну ложку через рот (ковтати) три рази на день (наприклад: ранок, обід, вечір). Приймайте одну столову ложку через рот (ковтати) два рази на день (наприклад: ранок та вечір)."
9,Pediatric dose based on 20 lb weight,Педіатрична доза з розрахунку на вагу 20 фунтів,"Педіатрична доза, розрахована на вагу 20 фунтів",Дитяча доза залежно від ваги 20 фунтів,"Педіатрична доза з розрахунку на вагу 20 фунтів (приблизно 9,07 кг)",Педіатрична доза з розрахунку на 20 фунтів ваги.,"Педіатрична доза з розрахунку на 20 фунтів (0,453 кг) ваги.",Дитяча доза розрахована на 20 фунтів ваги (один фунт — це приблизно пів кілограма ваги тіла).
10,Avoid ASA due to GI bleeding.,Уникайте АСк через шлунково-кишкову кровотечу.,Слід уникати застосування ацетилсаліцилової кислоти у зв’язку зі шлунково-кишковою кровотечею.,Уникайте Аспірину (ASA) через ризик шлунково-кишкових кровотеч.,Уникайте прийому ацетилсаліцилової кислоти через ризик шлунково-кишкової кровотечі.,Уникайте АСК через шлунково-кишкову кровотечу.,Уникайте ацетилсаліцилову кислоту через шлунково-кишкову кровотечу.,Уникайте аспірину через кровотечу у шлунку або кишечнику.
