id,text
1,"A child's dosage is based on: the severity of their infection, their age, their medical history, other conditions they have, their weight in kilograms (kg); 1 kg equals about 2.2 pounds. Below is a pediatric chart for Augmentin dosages based on prescribing information. Suspensions (a type of liquid mixture) are usually the preferred form for children, and taking a dose every 12 hours may cause less diarrhea. Please note: All doses are given in mg of amoxicillin per kg of body weight (mg/kg)."
2,"Adults: The usual dose is 3-6 tablets 3-4 times daily. For poisoning and intoxication: administer 0.7-1.1 oz per dose as a water suspension in 4-16 fl oz. The same suspension should also be used for gastric lavage. For increased stomach acidity: adults should take 0.035-0.07 oz of the drug 3-4 times daily."
3,"A trained healthcare provider will observe you for at least 15 minutes after being given the Pfizer vaccine. If these symptoms develop after that, go straight to the emergency department at your nearest hospital, or call 111 if your hospital's not nearby."
4,"This is a common side effect of vaccines and is your immune system's natural response to the vaccine. This is expected and usually starts a few hours after getting the injection and settles within a few days. Some vaccines, such as the measles, mumps and rubella (MMR) vaccine, can cause a delayed reaction. This could be a high fever (over 39 C) between 6 and 12 days after immunisation and temporary joint pain 2 to 4 weeks after immunisation. To ease the fever you can dress lightly, with a single layer of clothing, keep the room cool, use a fan and drink plenty of fluids. Because paracetamol or ibuprofen can interfere with your immune response to a vaccine, only take them for relief of significant discomfort or high fever."
5,"Saxenda and Wegovy: Belong to a group of medicines called glucagon like peptide (GLP-1) receptor agonists. They mimic the GLP-1 hormone that is naturally produced in your gut after eating. These medicines reduce your appetite by making you feel more full and less hungry. This can lead to eating less food and therefore loss of weight. These medicines also stimulate the release of insulin from your pancreas and can help to control blood glucose levels."
6,"Take 1 gr tablet TID (old use)"
7,"Apply 1 oz ointment to affected area"
8,"Take 1 tsp PO TID. Take 1 tbsp PO BID"
9,"Pediatric dose based on 20 lb weight"
10,"Avoid ASA due to GI bleeding."
