id,text,Gemini_Translation,GPT5_Translation
1,"A child's dosage is based on: the severity of their infection, their age, their medical history, other conditions they have, their weight in kilograms (kg); 1 kg equals about 2.2 pounds. Below is a pediatric chart for Augmentin dosages based on prescribing information. Suspensions (a type of liquid mixture) are usually the preferred form for children, and taking a dose every 12 hours may cause less diarrhea. Please note: All doses are given in mg of amoxicillin per kg of body weight (mg/kg).","Дозування дитини базується на: тяжкості інфекції, віці, історії хвороби, інших наявних захворюваннях, вазі в кілограмах (кг); 1 кг дорівнює приблизно 2,2 фунта. Нижче наведено педіатричну таблицю дозування Аугментину на основі інформації про призначення. Суспензії (тип рідкої суміші) зазвичай є кращою формою для дітей, а прийом кожні 12 годин може спричинити менше діареї. Зверніть увагу: всі дози вказані в мг амоксициліну на кг маси тіла (мг/кг).","Дозування дитини визначається залежно від тяжкості інфекції, віку, медичної історії, інших станів, які має, її ваги у кілограмах (кг); 1 кг становить приблизно 2,2 фунти. Нижче наведено педіатричну таблицю дозувань Аугментину відповідно до інструкції з призначення. Суспензії (тип рідкої суміші) зазвичай є переважною формою для дітей, а прийом дози кожні 12 годин може призвести до меншої діареї. Зверніть увагу: Усі дози подані в мг амоксициліну на кг маси тіла (мг/кг)."
2,Adults: The usual dose is 3-6 tablets 3-4 times daily. For poisoning and intoxication: administer 0.7-1.1 oz per dose as a water suspension in 4-16 fl oz. The same suspension should also be used for gastric lavage. For increased stomach acidity: adults should take 0.035-0.07 oz of the drug 3-4 times daily.,Дорослі: Звичайна доза становить 3-6 таблеток 3-4 рази на день. При отруєнні та інтоксикації: вводити 20-30 г на дозу у вигляді водної суспензії в 120-480 мл. Таку ж суспензію слід використовувати для промивання шлунка. При підвищеній кислотності шлунка: дорослим слід приймати 1-2 г препарату 3-4 рази на день.,"Дорослі: звичайна доза становить 3–6 таблеток 3–4 рази на добу. При отруєннях та інтоксикаціях: вводити по 0,7–1,1 унції за дозу у водній суспензії об'ємом 4–16 рідких унцій. Таку ж суспензію слід також використовувати для промивання шлунка. При підвищеній кислотності шлунка дорослі повинні приймати 0,035–0,07 унцій препарату 3–4 рази на добу."
3,"A trained healthcare provider will observe you for at least 15 minutes after being given the Pfizer vaccine. If these symptoms develop after that, go straight to the emergency department at your nearest hospital, or call 111 if your hospital's not nearby.","Кваліфікований медичний працівник спостерігатиме за вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо після цього у вас з'являться ці симптоми, негайно зверніться до відділення невідкладної допомоги найближчої лікарні або зателефонуйте за номером 111, якщо ваша лікарня знаходиться далеко.","Кваліфікований медичний працівник буде спостерігати за вами щонайменше 15 хвилин після введення вакцини Pfizer. Якщо ці симптоми з’являться після цього, зверніться безпосередньо до відділення екстреної допомоги найближчої лікарні або зателефонуйте за номером 111, якщо ваша лікарня не поруч."
4,"This is a common side effect of vaccines and is your immune system's natural response to the vaccine. This is expected and usually starts a few hours after getting the injection and settles within a few days. Some vaccines, such as the measles, mumps and rubella (MMR) vaccine, can cause a delayed reaction. This could be a high fever (over 39 C) between 6 and 12 days after immunisation and temporary joint pain 2 to 4 weeks after immunisation. To ease the fever you can dress lightly, with a single layer of clothing, keep the room cool, use a fan and drink plenty of fluids. Because paracetamol or ibuprofen can interfere with your immune response to a vaccine, only take them for relief of significant discomfort or high fever.","Це поширений побічний ефект вакцин, який є природною реакцією вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після ін'єкції та минає протягом кількох днів. Деякі вакцини, такі як вакцина проти кору, епідемічного паротиту та краснухи (КПК), можуть спричинити відстрочену реакцію. Це може бути висока температура (вище 39°C) через 6-12 днів після вакцинації та тимчасовий біль у суглобах через 2-4 тижні після вакцинації. Щоб полегшити лихоманку, можна одягатися легко, в один шар одягу, тримати кімнату прохолодною, використовувати вентилятор і пити багато рідини. Оскільки парацетамол або ібупрофен можуть впливати на вашу імунну відповідь на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої температури.","Це загальний побічний ефект вакцин і природна реакція вашої імунної системи на вакцину. Це очікувано і зазвичай починається через кілька годин після щеплення та зникає протягом кількох днів. Деякі вакцини, такі як вакцина від кору, паротиту та краснухи (MMR), можуть викликати відстрочену реакцію. Це може бути висока температура (понад 39 °C) у межах від 6 до 12 днів після щеплення та тимчасовий біль у суглобах 2–4 тижні після щеплення. Щоб полегшити лихоманку, одягайтеся легко, у один шар одягу, тримайте кімнату прохолодною, використовуйте вентилятор і пийте багато рідини. Оскільки парацетамол або ібупрофен можуть заважати вашій імунній відповіді на вакцину, приймайте їх лише для полегшення значного дискомфорту або високої лихоманки."
5,Saxenda and Wegovy: Belong to a group of medicines called glucagon like peptide (GLP-1) receptor agonists. They mimic the GLP-1 hormone that is naturally produced in your gut after eating. These medicines reduce your appetite by making you feel more full and less hungry. This can lead to eating less food and therefore loss of weight. These medicines also stimulate the release of insulin from your pancreas and can help to control blood glucose levels.,"Саксенда та Вегові: належать до групи лікарських засобів, які називаються агоністами рецепторів глюкагоноподібного пептиду-1 (ГПП-1). Вони імітують гормон ГПП-1, який природним чином виробляється у вашому кишечнику після їжі. Ці препарати зменшують ваш апетит, створюючи відчуття більшої ситості та меншого голоду. Це може призвести до споживання меншої кількості їжі і, відповідно, до втрати ваги. Ці препарати також стимулюють вивільнення інсуліну з вашої підшлункової залози та можуть допомогти контролювати рівень глюкози в крові.","Saxenda та Wegovy належать до групи ліків, які називаються агоністами рецепторів глюкагоноподібного пептиду (GLP-1). Вони імітують гормон GLP-1, який природно виробляється у вашому кишечнику після їжі. Ці ліки зменшують апетит, змушуючи відчувати себе більш ситим і менш голодним. Це може призвести до зменшення споживання їжі та, відповідно, до втрати ваги. Ці препарати також стимулюють виділення інсуліну з вашої підшлункової залози і можуть допомогти контролювати рівень цукру в крові."
6,Take 1 gr tablet TID (old use),Приймати по 1 таблетці 3 рази на день (старе дозування),Приймайте таблетку по 1 г тричі на добу (старе застосування)
7,Apply 1 oz ointment to affected area,Нанесіть 1 унцію мазі на уражену ділянку,Нанесіть 1 унцію мазі на уражену ділянку.
8,Take 1 tsp PO TID. Take 1 tbsp PO BID,Приймати по 1 ч.л. всередину 3 рази на день. Приймати по 1 ст.л. всередину 2 рази на день.,Приймайте 1 ч.л. перорально тричі на добу. Приймайте 1 ст.л. перорально двічі на добу.
9,Pediatric dose based on 20 lb weight,Педіатрична доза на основі ваги 20 фунтів,Педіатрична доза залежить від ваги 20 фунтів.
10,Avoid ASA due to GI bleeding.,Уникайте АСк через шлунково-кишкову кровотечу.,Уникайте АСК через кровотечу з ШКТ.
